FID SID sim1 sim2 sim3
abc126 abc126 48.31 74.56 17.85
abc127 abc127 72.61 66.16 57.95
abc128 abc128 69.26 55.24 71.08
abc129 abc129 88.4 22.76 76.13
abc130 abc130 39.3 67.65 11.64
abc131 abc131 90.33 26.03 8.05
abc132 abc132 39.61 32.58 70.12
abc133 abc133 95.76 88.37 33.84
abc134 abc134 64.51 63.54 88.21
abc135 abc135 84.31 31.19 96.22
abc136 abc136 31.31 72.68 34.75
abc137 abc137 41.37 43.11 95.39
abc138 abc138 96.63 4.76 16.19
abc139 abc139 33.21 18.84 41.07
abc140 abc140 28.69 55.82 1.09
abc141 abc141 9.61 93.37 76.75
abc142 abc142 21.4 48.74 77.37
abc143 abc143 44.52 56.01 69.16
abc144 abc144 96.44 81.98 55.84
abc145 abc145 94.08 14.1 32.2
abc146 abc146 82.08 48 1.48
abc147 abc147 65.61 19.03 97.06
abc148 abc148 10.09 48.91 3.99
abc149 abc149 40.36 40.67 91.67
abc150 abc150 34.62 68.04 27.72
abc151 abc151 37.28 76.78 55.58
abc152 abc152 12.93 0.86 31.46
abc153 abc153 99.11 30.86 97.73
abc154 abc154 92.69 76.54 88.61
abc155 abc155 64.29 42.87 49.86
abc156 abc156 73.06 96.79 39.04
abc157 abc157 67.24 30.31 0.13
abc158 abc158 1.6 5.17 22.83
abc159 abc159 78.41 26.38 52.87
abc160 abc160 82.61 28.3 58.35
abc161 abc161 75 0.22 67.23
abc162 abc162 2.93 62.71 33.9
abc163 abc163 40.91 52.54 2.44
abc164 abc164 82.34 22.86 28.41
abc165 abc165 11.7 50.01 47.09
abc166 abc166 24.79 41.06 5.14
abc167 abc167 53.9 33.64 37.05
abc168 abc168 5.82 61.59 77.71
abc169 abc169 37.97 21.44 8.63
abc170 abc170 16.17 55.08 91.05
abc171 abc171 35.23 2.66 10.92
abc172 abc172 7.92 86.11 20.53
abc173 abc173 4.49 51.3 93.35
abc174 abc174 74.86 99.32 45.19
abc175 abc175 88.82 45.77 42.99
abc176 abc176 82.28 89.91 91.04
abc177 abc177 94.71 84.42 59.34
abc178 abc178 35.33 29.74 92.25
abc179 abc179 29.54 7.07 91.36
abc180 abc180 42.2 72.94 82.23
abc181 abc181 23.67 28.4 58.44
abc182 abc182 62.55 68.09 46.09
abc183 abc183 68.44 77.12 91.52
abc184 abc184 6.65 36.43 88.07
abc185 abc185 10.1 62.49 4.99
abc186 abc186 97.63 57.78 80.19
abc187 abc187 5.52 66.25 70.69
abc188 abc188 59.46 53.56 95.12
abc189 abc189 10.18 78.6 76.21
abc190 abc190 98.99 82.41 6.59
abc191 abc191 48.59 52.95 92.67
abc192 abc192 34.28 20.08 4.17
abc193 abc193 31.51 27.67 1.71
abc194 abc194 15.63 33.18 48.67
abc195 abc195 29.04 18.2 47.25
abc196 abc196 7.64 66.19 44.56
abc197 abc197 6.01 89.22 60.15
abc198 abc198 29.64 16.76 94.5
abc199 abc199 39.69 39.74 17.98
abc200 abc200 91.05 9.11 75.92
