Taxa	FN.PctWtLoss	Pleth.Weight	Glucose.Weight
A048051824	10.38960589	30.7	28.1
A048052595	7.456137081	26.4	24.2
A048053604	3.378376096	19.3	17.9
A048053821	5.59005864	18.3	17.4
A048053860	NA	16.7	15.9
A048054628	5.820102741	21.6	20.1
A048054885	9.958502092	28.4	26.2
A048055081	2.484470507	18.9	17.7
A048055545	4.624274784	20	19.3
A048055872	4.128438473	23.7	21.9
A048056266	13.0952329	27.5	24
A048056786	5.681814954	21.9	20.4
A048057565	NA	18.7	18
A048057587	4.907972449	NA	17.9
A048057608	7.657654208	26.2	25.7
A048057823	7.936503737	23.8	22.7
A048057883	7.499997321	30.1	28.7
A048058059	5.607474015	25.9	23.7
A048058070	7.407403978	25.8	24
A048058554	6.586822403	21	18.7
A048058769	12.04818793	28.5	25.8
A048058856	9.278345733	21.3	18.7
A048058878	6.741569246	19.7	18.3
A048059097	8.715592332	26.1	23.8
A048059117	6.172836966	29.9	28.1
A048059602	5.521469005	20.2	21.3
A048059836	6.49999675	22.7	21.6
A048060314	8.928567443	25.3	23.7
A048061051	4.901958381	24.7	23.6
A048061341	4.324321987	25.3	23.4
A048061513	6.607926604	26.3	24.5
A048061517	7.182316474	20.3	18.7
A048061864	7.100587514	24.4	23.6
A048062325	4.484302922	27.4	25.8
A048063019	9.039542916	19.6	17
A048063276	7.589282326	25.7	25.4
A048063277	4.999997222	20.4	18.5
A048063778	1.538460355	16.3	15
A048064308	1.652891196	16.1	15.3
A048064620	NA	16.3	16
A048064819	NA	15.5	15.4
A048065035	6.060602388	17.6	14.9
A048066343	7.189537785	20.5	20.2
A048066372	5.612242035	22.4	20.8
A048066594	4.590162429	NA	NA
A048067278	8.280249503	18.8	16.6
A048067524	7.692302313	19.8	17.6
A048067529	9.59595475	25.5	NA
A048067791	6.4393915	33.8	34
A048067887	1.234567139	19.7	18.8
A048068026	1.840489668	17.4	16.8
A048068077	6.282719224	20	18.9
A048068368	9.049769661	25.6	23.8
A048069001	8.333329861	27.7	24.5
A048069049	3.72670576	18.4	17
A048069514	11.11110461	22.1	19.8
A048070376	6.217613359	20.6	18.1
A048071106	9.926466939	32.7	30.2
A048071579	4.678359837	20	19.2
A048072087	5.67010017	20.2	19.4
A048072266	4.729726534	17.8	16.2
A048072521	4.666663556	16.5	14.9
A048072595	6.896547761	18.5	17.8
A048073291	8.93616641	26.8	24.6
A048073606	6.854835946	29.8	NA
A048073633	6.211176266	18.3	17.1
A048074553	7.182316474	25	24.6
A048075265	8.212556419	20.8	19.2
A048075614	4.225349137	15.7	14.9
A048076630	3.571426977	28.5	26.5
A048076855	3.311256085	18.3	17
A048077032	NA	28.7	26.3
A048078862	6.707312983	18.2	16.5
A048079075	7.053938982	26.2	23.6
A048079842	3.44827388	19.9	18.8
A048080339	6.382975328	22.5	20.6
A048080582	1.162790022	20.3	18.8
A048081308	3.921566064	19	18.5
A048081321	8.717944247	21.8	20.9
A048082329	5.681814954	22.5	21.4
A048082363	3.14465211	19.8	17.9
A048082370	6.9999965	24	22.7
A048083047	7.758617345	28	24.3
A048083517	10.06288675	21	19.9
A048083604	NA	25.6	24.2
A048084065	4.402512954	17.3	16.6
A048084549	4.109586226	18.5	17
A048084845	5.319146107	24.1	21.5
A048084850	9.663861486	27.1	26.4
A048085283	3.821653617	16.5	16.7
A048085379	1.895733699	24.5	23.6
A048086093	7.547165065	17.5	15.7
A048086277	6.763281757	24.4	22.4
A048086633	7.303366684	18.8	16.9
A048086793	4.597698507	19	18
A048086841	NA	22	20.6
A048086882	1.648350743	22	20.6
A048087831	8.064511793	20.8	18.6
A048088520	5.314007095	26.2	24.2
A048089538	6.666662963	19.2	17.7
A048090850	6.666661111	15.3	14.3
A048092264	NA	18.7	17.8
A048092534	4.390241761	21.9	20.1
A048092536	8.09523424	25.8	23.9
A048093042	7.881769516	23.1	22.8
A048093342	3.59281222	18.4	17
A048093528	5.785121576	30	28.2
A048093590	1.249999219	18.2	16.8
A048094060	4.516126119	17.8	16.6
A048094368	5.982903426	27	25.9
A048094867	8.45070125	31.3	28.8
A048096119	8.943085795	27.4	24.6
A048096523	8.292678882	22.5	21.7
A048097274	4.73372501	21.2	18.8
A048098560	8.49999575	21.7	20.3
A048098608	5.617974372	19.9	18.5
A048098790	8.290151145	20.2	17.3
A048098815	6.54761515	18.2	16.4
A048100854	6.35592951	27.4	25.9
A048101022	NA	21.9	21.2
A048101354	5.434779655	25	23.8
A048101850	6.666663248	20.6	18.7
A048102058	7.826083554	28.2	24.9
A048102062	6.666664052	31.2	29.6
A048102284	7.720585397	31.4	29.2
A048102298	6.481478481	25.5	23
A048102326	8.71368933	28.1	26.6
A048102344	NA	18.9	17.6
A048102371	5.882349481	17.9	16.6
A048102636	6.589144733	NA	27.8
A048103552	3.083699082	25.5	23.4
A048104055	5.487801532	17.5	16
A048104802	5.286341284	28.4	26.2
A048105840	6.358377828	17.9	16.5
A048106824	8.602145913	21.6	20.4
A048107106	5.833330903	29.3	27.4
A048107550	4.975121903	23.5	24.2
A048108281	8.292678882	26.2	24.2
A048108327	1.075268239	20	18.8
A048109049	10.58822907	22.6	19.6
A048109836	7.425738898	23	21.3
A048111053	5.102038213	23.4	22.3
A048111353	9.090904959	27.7	25.1
A048111516	2.985072399	15.8	16
A048111540	4.046240436	21.7	19.5
A048111820	2.777776492	26	25
A048111832	7.734802356	19.7	20
A048111851	5.911327137	24	21.6
A048112845	9.374994141	19.4	17
A048113040	5.263154432	19	17.2
A048113527	9.890104456	19.5	18.5
A048114022	1.960783032	19.3	18.1
A048114639	3.888886728	21.2	18.9
A048114787	5.759159288	20.7	19.1
A048114796	6.896547761	19.3	17.2
A048114828	6.842101662	23.2	21.8
A048114848	8.376958965	25.9	23.8
A048115324	2.150536478	21	19.2
A048115577	6.285710694	20.9	19.2
A048115586	7.766986521	25.5	NA
A048115835	7.843132129	17.2	17.2
A048115873	5.785121576	29.4	28.8
A048117617	6.54761515	18.7	17.1
A048117780	7.801412907	15.7	14.5
A048117807	4.022986194	22.2	20.5
A048117876	1.648350743	20.5	19
A048118000	2.898549324	24.6	23
A048118372	2.072537786	22.3	21.5
A048118531	6.698561388	24	21.9
A048119797	1.898732975	18.3	14.9
A048120035	7.792204419	25.3	23.7
A048120064	11.71170644	25.7	23.5
A048120298	7.344628619	17.7	16.9
A048122076	3.488370065	19.7	19.7
A048122316	7.97545523	18.1	16.5
A048122322	7.10900137	25.8	24.2
A048122545	11.35134522	20.4	18.5
A048122784	7.943921522	26	24.9
A048123293	5.056176935	21.8	19.8
A048123376	5.769227071	18.8	19.4
A048123560	9.489047632	30.1	28.1
A048124637	7.142853741	26.5	23.9
A048125004	5.696198926	22.1	20
A048125017	3.783781738	20.4	20.5
A048126293	6.363633471	24.8	24
A048126565	7.189537785	17.4	16.6
A048127320	6.341460321	26	24.3
A048127592	4.780874589	27.4	24.8
A048127848	7.894731648	18	15.6
A048127849	10.20407643	21.3	19.1
A048256056	7.207203961	26.2	24.9
A048256284	7.272723967	25.7	23.3
A048256776	9.340654208	20.5	18.2
A048257316	3.888886728	19.2	18.1
A048258376	9.426225645	30.1	27
A048258620	6.395345119	20	19
A048258834	6.467658474	22	19.7
A048258842	8.290151145	25	24.7
A048261002	1.005024621	24.1	22.8
A048261040	2.941174308	14.2	12.7
A048261072	6.190473243	29.2	26.4
A048261259	9.999994444	20.1	19.6
A048263034	4.430376943	22.5	21.1
A048263310	8.743164621	20.4	18.6
A048268784	7.035172344	20.7	18.4
A048271860	3.703701744	23.6	21.1
A048272018	8.256876946	26	25.2
A048272323	3.921566705	24.4	23.3
A048272331	8.968605844	24.9	22.4
A048272340	6.878303239	24.2	22.6
A048272564	3.73831601	24.6	24
A048272639	4.803491352	27.4	25.8
A048273042	8.403357814	27	25.5
A048273083	8.771925977	26.5	24.4
A048273303	NA	21.2	19.8
A048273349	4.225349137	17.4	16.4
A048273353	4.123709215	21.9	20.5
A048273584	6.521735586	19.3	18.3
A048273604	2.116400997	24.3	23.7
A048273784	5.405402484	25.9	24.9
A048273786	7.98121691	27	25.9
A048274015	8.108103725	25	23.4
A048274037	10.24389744	25.3	23.6
A048274070	3.22580437	18.4	NA
A048274102	6.521735586	21.6	19.9
A048274362	6.849310377	21.3	19.2
A048274606	9.417036136	25.2	22.1
A048274859	10.17543503	23.5	31
A048275273	5.970146284	23.8	22.6
A048275274	NA	19.5	17.9
A048275570	4.191614257	20.4	18.9
A048275888	4.712039418	25.7	25.1
A048276530	0.709219355	17.7	16.4
A048276532	10.07751547	30.1	27.6
A048276563	NA	20.7	20.1
A048276590	7.488983485	27.7	26.2
A048276812	5.699478912	23.5	22.1
A048276871	5.67010017	22.4	21
A048277066	3.463201964	27.2	24.9
A048277613	7.216491126	22.8	21.5
A048277802	NA	29.1	27.3
A048277878	5.755391543	17.3	16.6
A048277888	3.896101366	17.2	16.3
A048278035	NA	18.3	17.8
A048278066	5.429861796	25.6	25.2
A048278086	4.639172866	23.7	22.3
A048278103	3.191487664	21.2	20.1
A048278380	6.586822403	19.4	18.7
A048278795	4.697983424	16	15.8
A048278815	4.347823987	24.2	23.1
A048279009	2.339179919	18.7	18
A048279079	1.630433897	21.8	20.4
A048279086	NA	18.2	17.4
A048279094	6.842101662	20.4	18.8
A048280355	9.268288162	26	24
A048280359	8.938542492	20.2	NA
A048280365	NA	19.4	17.7
A048280513	7.878783104	21.1	18.9
A048280561	4.712039418	23.9	22.5
A048280877	4.999996429	17.9	16.5
A048281301	9.444439198	22.1	19.3
A048281589	5.681814954	18.3	17
A048281772	7.45097747	28.7	25.7
A048281893	3.870965245	24	16.7
A048282019	3.278687181	29.1	26.8
A048282069	4.23728634	26.4	26.4
A048282323	3.72670576	18.5	17.8
A048282361	5.527635413	21.5	20.2
A048282364	4.945052228	24.8	23.4
A048282532	1.069518145	20.9	19
A048283332	8.854162055	23.8	22.4
A048283353	8.181814463	23.3	22.8
A048283514	6.60377047	25.6	26.1
A048283521	3.550293757	20.8	20.3
A048283599	4.201678907	26.4	25.1
A048283621	4.597698507	18.9	17.4
A048283853	6.849311941	25.2	22.6
A048284577	6.010925677	20.5	NA
A048285264	NA	16.7	NA
A048285543	8.648643974	21.1	19.1
A048285627	2.739724776	27.2	25.3
A048285875	3.030301718	27.2	24.6
A048286078	NA	23.1	22.8
A048286335	2.162160993	23.7	22.6
A048286571	8.092480871	20	18.8
A048286851	6.451608741	17.4	16.3
A048287013	5.627703191	27	25.8
A048287563	-0.561797437	18.8	17.7
A048287619	7.5697181	29.2	25.6
A048287855	3.550293757	19.3	18.2
A048288313	6.698561388	26.3	25.3
A048288364	5.820102741	21.2	19.2
A048292804	8.823525087	25.3	24.2
A048292860	6.694557868	28.2	NA
A048296850	7.727269215	25.7	23.4
A048297050	1.526716975	32.4	29.5
A048297770	8.720925162	19.7	18.9
A048299053	3.260867793	20.1	18.9
A048299526	NA	23.7	23.1
A048300274	8.10810263	19.4	17.6
A048300286	4.705879585	20	19.3
A048300546	NA	23	20.8
A048301370	7.291662869	22.8	NA
A048301565	4.794517264	18.1	16
A048302637	3.508770391	24.6	22.5
A048302801	4.494379498	23.6	23.8
A048303261	2.758618787	16.4	15.2
A048304031	4.188479482	22.1	20.5
A048305265	6.132072579	27.2	24.9
A052525850	5.025123103	22.5	21.4
A052529313	10.46024667	29.2	27.4
A052530595	7.142853218	24.5	21.9
A052538059	1.734103044	20.1	18.4
A052545836	3.797465951	17.3	15.7
A052552092	7.432427411	19	17.9
A052553296	9.999996296	32.4	30.7
A052553589	3.57142602	15.3	15
A052554317	3.378376096	18.6	17.5
A052555539	4.669258884	29.8	20.2
A052556361	0.432900245	27	25.8
A052569537	7.171311884	28	28.8
A052589120	7.916663368	NA	24.8
A052589333	9.589036717	26.5	26
A052592018	8.085102943	28.8	26.7
A052597567	7.766986521	25.2	23.6
A052598083	7.84313341	22.5	19.9
A052602081	5.851060718	22.4	21.6
A052609588	3.10077279	15.8	14.7
A052610048	3.045683733	22.5	19.4
A052616855	2.617799677	21.1	19.5
A052618008	6.046508816	24.8	22.8
A052619346	5.291002492	19.5	18.4
A052619562	5.882349481	18.4	16.4
A052620834	8.627447597	29.4	26.6
A052621017	6.55021548	26.7	28.6
A052623359	5.494502476	20.7	NA
A052623584	7.042248562	16	13.9
A052624066	5.913975315	21.7	19.7
A052624514	3.40135823	18.6	17.1
A052624782	6.382975328	24.1	21.2
A052625275	5.303028294	29.9	27.7
A052628570	10.20407747	30.2	27.2
A052629363	4.824559287	29.1	27.5
A052631282	6.926403928	26.2	NA
A052634603	6.321835447	21.7	22.3
A052634623	10.24095769	18.4	16.4
A052634816	5.882350279	26.4	24.2
A052635259	5.88235047	27.8	25.9
A052638360	6.770829807	21.5	20
A052780082	4.999997222	22	21.7
A052781842	5.128201841	18	16.9
A052781845	5.714282449	19	17.4
A052782850	7.729464865	25.4	23.5
A052787883	0	27.3	26
A052792353	6.756753713	26	25.2
A052795037	5.042014688	26.3	24.9
A052796857	4.999997727	25.8	25
A052798557	8.677682365	27.1	25
A052799267	11.60220353	20.1	18.4
A052799328	5.789470637	21.8	19.6
A052800382	4.624274784	20.5	19.1
A052801541	5.759159288	20.9	19.8
A052808283	5.909088223	24.2	24.1
A052811355	2.732238944	21.4	19.7
A052812594	7.85339903	21.8	19.5
A052819094	5.583753511	22.3	20.7
A052828076	7.207203961	22.8	21
A052838073	6.372545896	24.4	22.3
A052842597	6.842101662	20	18.8
A052844109	3.553297689	21.6	20.4
A052845545	1.746724128	27.3	26.6
A052845832	9.411761015	31.4	28.8
A052846805	6.030147724	22.4	22
A052848257	4.374997266	17.8	16.5
A052849122	0.738007108	30.1	28.8
A052849123	6.874995703	18.6	17.5
A052851552	2.824857161	19	18.5
A052852067	4.519771458	21.4	21.4
A052852070	6.367038814	31	27.9
A052853802	3.589741749	22.9	21.2
A052854269	4.932733214	25.8	24.7
A052856103	5.714282993	25.7	23.6
A052857123	6.172836966	26.5	24.4
A052857857	7.024790486	28.2	26.8
A052858890	9.166662847	28.4	26.5
A052861821	6.140348184	26.5	24.5
A052862319	4.926105948	23.8	21.9
A052863022	5.785121576	27.4	25.2
A052870852	7.272723967	25.4	22.8
A052873779	3.271026509	24	22.8
A052877118	8.502020849	28.7	27.4
A052888127	4.324321987	22.6	25.3
A052888590	3.91061234	19.4	17.6
A052888591	5.479449553	27.1	25.5
A052892316	5.970146284	22.7	21.4
A052892872	4.433495353	22.7	21.5
A052893788	1.212120478	18.8	17.1
A053002052	6.54761515	18.4	18.2
A053013093	6.967210259	27.4	25.5
A053023380	5.759159288	21.5	20.8
A053024601	10.4247064	27	25.6
A053026587	6.493503682	27.7	25.2
A053026818	5.586589058	NA	18.2
A053027117	5.583753511	22.7	20.6
A053028102	5.820102741	21.1	19.1
A053029369	5.913975315	20	28.5
A053029791	5.660373799	18.2	16.7
A053030292	7.228912759	27.4	25.1
A053031772	5.434779655	21.4	19.8
A053035844	4.166664738	NA	26
A053037776	2.702701242	21.6	20
A053037880	4.411762543	22.2	20.5
A053042270	6.849311941	24	23.6
A053044603	4.597698507	20.2	20.2
A053048603	9.444439198	20.4	18.4
A053052635	4.564313459	33.2	30.7
A053053012	5.142854204	19.5	18.3
A053053096	8.9005189	22	20.1
A053054340	6.792450267	30.4	28.5
A053054528	4.145075572	20.5	19.1
A053057796	5.521469005	19.2	18.3
A053058379	1.626014938	14	13.3
A053059356	5.607474015	23.1	22.1
A053063281	8.57142449	23.4	19.9
A053063855	6.965170664	25	24.1
A053066863	6.629830591	20.7	18.4
A053068315	5.579396747	26.5	25.5
A053068775	9.163342963	32	29
A053070383	3.157893075	20.4	19.4
A053073028	4.347824512	31.1	29.2
A053074016	3.954800026	19.9	18
A053075376	8.717944247	24.2	22.3
A053075572	0	21.7	17.2
A053075810	7.826083554	27.4	25.8
A053076035	6.639001395	27.8	25.6
A053077810	6.866949843	27.4	24.6
A053078842	4.123709215	22.2	19.9
A053081284	6.24999566	17	15.1
A053083044	9.345790025	26.5	NA
A053083824	4.761902242	20.1	19
A053084062	5.095538156	18.3	16.7
A053085267	13.13867654	15.2	13.2
A053086377	9.459455198	26.4	25
A053096770	9.163342963	29.4	28.1
A053098266	5.154636518	18.3	19.9
A053101275	7.821224681	23	21
A053102110	1.075268239	23.6	21.2
A053104274	6.465514455	24.8	24.1
A053104836	2.222220988	20.8	19.6
A053109294	2.510459201	29	27.1
A053111539	2.013421468	16.1	14.8
A053112576	7.920788158	21.5	20.2
A053113372	7.106595377	NA	23.5
A053115580	5.339803233	25.1	22.8
A053117273	10.74379721	28.5	27.7
A053118815	3.977270467	20.2	18.5
A053119096	3.684208587	21	19.5
A053121340	7.307689497	30.8	29.5
A053121348	6.369422695	20.9	20.7
A053121776	11.00477942	24.3	22.5
A053121786	4.761901927	19.5	17.3
A053123328	4.201678907	28.6	27.5
A053126610	4.117644637	19.3	18.2
A053259595	4.477609713	28	21.3
A053268028	6.808507741	27.1	26.2
A053273558	5.384613314	NA	29.1
A053274515	9.223296494	24.3	23.5
A053278519	7.831320584	20	17.8
A053278526	7.207203961	27.2	25.5
A053278534	8.045972387	18	17.6
A053279798	0	21.7	20.1
A053306061	4.651160087	19	17.5
A053309610	5.454542975	24.7	24
A053310123	8.520175551	26	NA
A053310771	0	18	17
A053311315	7.006364964	17.8	15.8
A053314371	3.076921499	24.4	23
A053315089	6.122445856	23.5	22.4
A053324619	8.26771328	29.4	27.4
A053325844	5.371898607	29.4	26.6
A053327638	8.717944247	25.3	23.8
A053328342	4.102561999	23	21.8
A053328630	5.660374689	24.1	22.7
A053329319	4.320984987	18.4	16.1
A053334598	2.515721688	18.2	16.4
A053334608	4.405284403	27.1	25.6
A053344037	5.825239891	21.4	18.6
A053345270	5.439328268	27.2	NA
A053345354	5.142854204	20.3	18.5
A053347109	3.539821443	26.4	25.1
A053347368	3.846151733	21	18.4
A053348357	5.627703191	28.6	26.8
A053349036	4.145075572	21.2	19.6
A053349313	8.173072994	24.4	22.7
A053350345	6.949804266	33.5	31.4
A053350557	4.2105241	21.3	20.3
A053357326	6.666663704	26.4	24.2
A053357344	3.571426749	21.6	19.5
A053363022	5.357139668	18.8	17.5
A053363287	6.772905668	28.8	27.1
A053364292	4.583331424	26.7	26.5
A053366615	5.031443376	21.1	20.9
A053368562	8.547004894	27.2	25.9
A053370831	7.45341152	19.1	16.6
A053372091	5.076139555	24.2	21.4
A053373276	6.508871888	18.1	16.5
A053374870	5.11627669	25.4	23.1
A053375835	8.9005189	20.7	NA
A053376341	5.102038213	22.6	20.5
A053377861	3.409088972	19.2	17.9
A053380881	7.692304212	25	25.1
A053381362	4.901958381	21.9	20.2
A053382037	5.714282993	25	22.9
A053512777	3.804345759	20.1	18.9
A053515788	5.128201841	18.1	16.3
A053517124	4.232801993	21.4	19.5
A053521596	4.838707726	29.4	26.5
A053523614	3.488370065	19.6	18.5
A053524010	3.940884758	21.5	20
A053537328	10.82473669	20.7	18.9
A053538123	8.979588172	28.4	25.5
A053542615	2.994010183	19.1	17.7
A053543610	6.58435943	28	26.3
A053544524	4.641348253	NA	28.3
A053546593	4.326920997	24.3	22.8
A053547773	4.827582878	17	15.5
A053548812	3.755866781	23.8	22.8
A053550328	5.263155764	29.8	26.7
A053557530	NA	23.3	22
A053558768	4.184098668	NA	28.2
A053559068	5.319146107	22.4	22
A053560346	3.539821443	26	24.6
A053561870	10.50227831	24.3	24.2
A053562842	8.695647973	24.7	23.3
A053563030	5.063287935	NA	15.3
A053563588	3.93258206	18.3	17.4
A053564374	5.978257621	20.7	19.2
A053564582	9.243693595	24.5	22.4
A053565037	3.448273484	17.1	16.6
A053568862	1.315788608	17.1	16
A053573885	7.19999712	29.2	28.5
A053575633	4.812831651	21.4	19.2
A053576623	1.744185032	19.7	17.5
A053577791	7.594931902	17.8	16.3
A053579560	3.030301194	20.6	19.2
A053581777	7.650269044	20.7	18.7
A053582632	3.960394079	24	22.7
A053583098	9.090904959	25.4	NA
A053583638	10.22221768	24.3	22
A053589026	7.177030059	25.7	23.4
A053592775	5.603445861	27.7	25.8
A053593532	0.757575184	15	14.2
A053594023	5.150212382	27	28.1
A053596619	4.787231496	20.8	18.4
A053597769	7.303366684	19.6	17.5
A053603357	8.1339674	24.5	21.8
A053606015	3.49999825	22.8	22.2
A053607343	6.508871888	19.5	18.5
A053607576	6.172835696	20.9	19.7
A053607586	4.255316131	17.1	15.5
A053608073	4.787231496	21.6	18.6
A053610544	0.85836873	27.8	25.8
A053610614	5.027930152	19.6	18.4
A053611080	6.037733571	31.1	29.8
A053611854	2.553190403	26	24.1
A053611862	5.327866669	28.8	27.1
A053612768	11.35370683	25.1	24.5
A053613021	2.764975684	25.5	23.8
A053614004	7.630519024	NA	29.5
A053614010	4.519771458	20.4	18.5
A053615533	0.714285204	15.2	14.5
A053615847	5.128202498	23.2	22.4
A053616020	7.766986521	25.5	23.7
A053616035	6.806279159	22.5	21.3
A053616606	9.045221585	22.2	20.4
A053617622	3.597119714	17.2	15.7
A053617890	6.122445856	23.1	21.7
A053619006	3.571426977	25.5	24.6
A053619368	5.633798849	16.2	15.1
A053620586	6.611567516	27.1	24.7
A053622311	6.167398164	26	24.2
A053622625	6.763281757	25.4	23.2
A053622854	2.721086584	19.6	16
A053624045	4.6931391	31.2	28.8
A053625123	9.160301847	29.5	26.5
A053625512	5.369123913	16.6	15.7
A053625622	8.670515219	19.6	17.4
A053625627	4.73372501	20.1	18.3
A053625841	6.008581112	26.8	24
A053627520	6.557374362	28.2	26.4
A053627600	5.857738135	29.3	26.7
A053627847	7.042250215	26.6	24.1
A053627872	0.540540248	19.8	18.6
A053628118	6.666663889	28	NA
A053628616	9.090904959	28.2	25.9
A053629514	7.692303994	23.1	22
A053774578	7.253882252	22	20.4
A053776778	3.584228106	32	30.6
A053777555	1.769909938	13	NA
A053781297	4.545451594	NA	15
A053785895	5.921048736	17.7	15.7
A053786092	8.098588698	32	29
A053790005	7.755098875	28	25.5
A053791356	0	17	16.5
A053796333	1.310043096	26.2	26.1
A053798358	7.142853741	25.3	23.3
A053802801	4.519771458	19.8	17.5
A053804113	5.045869245	25	24.5
A053811085	3.296701485	20.4	19.7
A053812366	2.732238944	19	17.6
A053819563	5.303028294	29.4	27.6
A054084284	8.90410349	16.7	14.6
A054090550	6.224063807	28	26.1
A054091270	4.060911644	24	23
A062882537	7.661287233	25.9	23.2
A062882785	6.48648298	19.4	18.1
A062882891	6.463875869	NA	29.3
A062884359	5.945942732	20	18.4
A062893089	10.58823114	34	29.6
A063001812	7.661287233	29.4	27.8
A063003538	3.62318578	16.3	15.4
A063004568	3.389828593	18.9	18.3
A063004820	5.468747864	NA	27.6
A063004831	4.306218035	23.7	21.2
A063006041	2.10526205	20.8	19.1
A063007024	5.078123016	27.8	24.9
A063007072	5.855853218	26.7	25
A063009019	2.538069778	22.4	20.3
A063009106	5.213267671	22.5	NA
A063009115	9.448815178	29.6	28.2
A063010041	7.239815729	26.2	24.5
A063011268	7.009342519	26.3	22.2
A063012272	NA	27	25.1
A063014029	7.602334735	20.3	16.4
A063014272	5.240172384	27.6	NA
A063119082	9.787229878	26.9	23.8
A063119632	8.823525087	21.7	19.8
A063120277	4.864862235	NA	20
A063120574	5.434779655	NA	19.2
A063124801	2.923974898	NA	19.2
A063126608	-0.61728357	17.7	16.8
A063127584	-0.454545248	26.9	25.2
A063259066	12.54354964	32	28.6
A063259583	9.547733896	21.6	19.1
A063259874	8.333329475	24.3	22.1
A063260315	6.751052004	27.3	25.4
A063261299	8.333328704	22.1	21.1
A063261563	3.743313506	NA	19.2
A063263078	5.213267671	25.4	24.3
A063263382	5.825239891	23.9	21.8
A063264860	3.124998047	17.8	15.8
A063265108	NA	24.4	25
A063265806	4.31034297	26.7	25
A063265847	10.72796524	27.3	26.8
A063266615	8.144792695	24.9	21.8
A063266797	9.876539145	25.3	22.9
A063267036	4.123709923	33	28.8
A063267846	11.37123366	NA	30.1
A063268335	10.54545071	NA	29.6
A063268860	6.639001395	26.2	24.7
A063269056	6.341460321	NA	20.8
A063269306	7.194242016	NA	32.2
A063270100	4.910712093	25	22.1
A063271372	5.323191892	NA	30.7
A063272043	5.555552126	20.6	18.1
A063272099	3.030301194	NA	17.1
A063310029	9.0909045	21.8	20.9
A063311623	9.090905334	26.6	25.1
A063312102	5.660373799	18.4	17.2
A063312867	3.93258206	21.2	18
A063336815	5.263155376	23.5	22.2
A063338541	8.974355139	31.9	28.8
A063338625	9.574462992	24.1	21.8
A063339889	7.006364964	17.8	15.8
A063341535	6.557374362	27.7	25.5
A063341852	10.36035569	25.2	21.4
A063342341	1.714284735	20.4	18.8
A063342593	6.249996995	22.1	20.6
A063344541	9.91378883	28.4	25
A063345052	3.652966369	26.3	25
A063345573	2.976188705	18.7	17.5
A063345585	1.86335288	19	17
A063345605	-0.613496556	18.2	17.1
A063345789	8.284018767	17.3	16.3
A063346080	1.382487842	27	25.1
A063347541	6.632649677	21.4	18.9
A063347594	2.880657251	28.9	26.4
A063349069	8.490562033	24.7	22.4
A063350017	7.042251041	31.6	28.1
A063350277	4.477609713	24.4	22
A063350378	10.40891806	NA	30.7
A063350516	5.08474289	19.1	17.5
A063353878	6.632649677	22.2	20.2
A063354863	4.780874589	32.1	NA
A063355515	5.761314502	27.3	25.4
A063355573	4.147463527	22.9	21.3
A063356301	9.465016681	29.2	27
